date,title,label,label_volatility,impact_type,impact_class,section,ticker
2021-01-21,Сбербанк начал использовать биометрию для подтверждения ряда операций,-1,0,trend,down,russia,SBER
2021-01-21,Сбербанк начал использовать биометрию для подтверждения ряда операций,-1,0,trend,down,russia,SBER
2021-01-28,Сбербанк попытается создать конкурента Wildberries и Ozon на базе goods.ru. Обзор,0,1,"trend,volatility",neutral_vol,business,SBER
2021-02-01,ЦБ перечислит в бюджет 200 млрд рублей от продажи Сбербанка до 1 апреля,0,0,none,neutral,russia,SBER
2021-02-08,Глава пресс-службы Сбербанка Иванова решила сменить работу,-1,0,none,down,russia,SBER
2021-02-15,"В ""Сбербанк онлайн"" встроят сервис по определению номеров мошенников",0,0,trend,neutral,russia,SBER
2021-02-17,Выплаты правлению Сбербанка в 2020 году сократились на 6%,0,0,none,neutral,russia,SBER
2021-03-15,"Сбербанк продлил прием заявок от желающих купить ""Евроцемент""",0,0,trend,neutral,russia,SBER
2021-03-15,"Сбербанк продлил прием заявок от желающих купить ""Евроцемент""",0,0,trend,neutral,russia,SBER
2021-03-17,Сбербанк учредил компанию для разработки софта под механизм tax free,0,0,none,neutral,business,SBER
2021-03-17,Сбербанк учредил компанию для разработки софта под механизм tax free,0,0,none,neutral,business,SBER
2021-03-29,Сбербанк получил 44% Fortenova после консолидации этой группой словенского ритейлера Mercator,0,0,trend,neutral,business,SBER
2021-03-29,Сбербанк закроет сделку по покупке доли Goods.ru во II квартале,0,0,trend,neutral,business,SBER
2021-03-29,"Сбербанк и Mail.ru Group запросили неформальное разрешение властей на ""развод""",0,0,trend,neutral,business,SBER
2021-04-06,"Суд удовлетворил иск Сбербанка к заводу ""Евроцемента"" на 5,4 млрд рублей",0,0,none,neutral,russia,SBER
2021-04-28,"ВЭБ, Сбербанк, ГПБ и ""Открытие"" предоставят €3,1 млрд для ""Арктик СПГ 2""",0,0,none,neutral,business,SBER
2021-05-06,"Сбербанк с 7 мая повысит ставки по ипотеке на 0,4 процентного пункта",1,1,volatility,up_vol,business,SBER
2021-05-06,"Сбербанк с 7 мая повысит ставки по ипотеке на 0,4 процентного пункта",1,1,volatility,up_vol,business,SBER
2021-05-18,"Сбербанк, ВЭБ.РФ и РФПИ получат по 25% в издательстве ""Просвещение""",-1,1,"trend,volatility",down_vol,russia,SBER
2021-05-18,Сбербанк намерен участвовать в создании системы углеродных квот,-1,1,"trend,volatility",down_vol,business,SBER
2021-05-18,"Сбербанк, ВЭБ.РФ и РФПИ получат по 25% в издательстве ""Просвещение""",-1,1,"trend,volatility",down_vol,russia,SBER
2021-05-18,Сбербанк намерен участвовать в создании системы углеродных квот,-1,1,"trend,volatility",down_vol,business,SBER
2021-06-01,"НПФ Сбербанка купит 100% акций НПФ ""Ренессанс пенсии""",0,0,none,neutral,business,SBER
2021-08-09,"Миноритарии ""Электрозавода"" попросили ЦБ проверить сделку со Сбером и АФК",0,0,trend,neutral,business,SBER
2021-08-31,Шлосберг обжаловал в Верховном суде свое снятие с выборов в Госдуму,0,1,"trend,volatility",neutral_vol,russia,SBER
2021-09-01,Челябинским студентам пообещали за прививку бесплатную подписку на сервисы Сбербанка,-1,0,none,down,russia,SBER
2021-09-14,Индекс МосБиржи обновил максимум за счет бумаг нефтегазовых компаний и Сбербанка,1,0,none,up,business,SBER
2021-09-14,"Сбербанк не видит ""пузыря"" на рынке потребкредитования",1,0,none,up,business,SBER
2021-09-14,"Сбербанк до конца года планирует разместить ""зеленые"" облигации",1,0,none,up,business,SBER
2021-09-15,"СП Сбербанка и АФК купило производителя ""Кагоцела"" за рубль",-1,0,none,down,russia,SBER
2021-09-14,Индекс МосБиржи обновил максимум за счет бумаг нефтегазовых компаний и Сбербанка,1,0,none,up,business,SBER
2021-09-14,"Сбербанк не видит ""пузыря"" на рынке потребкредитования",1,0,none,up,business,SBER
2021-09-14,"Сбербанк до конца года планирует разместить ""зеленые"" облигации",1,0,none,up,business,SBER
2021-09-15,"СП Сбербанка и АФК купило производителя ""Кагоцела"" за рубль",-1,0,none,down,russia,SBER
2021-09-29,Вице-президент Сбербанка Ракова доставлена на допрос в МВД,1,1,volatility,up_vol,russia,SBER
2021-09-30,Управляющего директора Сбербанка Зака арестовали по подозрению в мошенничестве,0,0,trend,neutral,russia,SBER
2021-09-30,Сбербанк нашел замену находящейся под следствием Раковой,0,0,trend,neutral,russia,SBER
2021-09-30,Думе предложили отложить на год решение о компенсации вкладов в Сбербанке СССР,0,0,trend,neutral,business,SBER
2021-10-25,"Украинская ""дочка"" Сбербанка опровергла слухи о планах сдачи банковской лицензии",0,0,none,neutral,business,SBER
2021-10-28,Сбербанк до конца года изучит перспективы активов экосистемы,-1,1,"trend,volatility",down_vol,business,SBER
2021-10-28,Сбербанк до конца года изучит перспективы активов экосистемы,-1,1,"trend,volatility",down_vol,business,SBER
2021-11-01,"Украинская ""дочка"" Сбербанка сменит название на Международный резервный банк",0,0,none,neutral,business,SBER
2021-11-03,"Сбербанк продаст несколько ""дочек"" в Европе на сумму около 500 млн евро",-1,1,"trend,volatility",down_vol,business,SBER
2021-11-09,"Греф сообщил об активном поиске покупателя на украинскую ""дочку"" Сбербанка",-1,0,none,down,business,SBER
2021-11-11,Сбербанк ожидает перетока во вклады части средств с текущих счетов,0,1,"trend,volatility",neutral_vol,business,SBER
2021-11-11,Сбербанк дебютировал с зелеными бондами в день выступления Грефа в Глазго,0,1,"trend,volatility",neutral_vol,business,SBER
2021-11-12,Головной офис Сбербанка переедет с улицы Вавилова на Кутузовский проспект,0,0,trend,neutral,business,SBER
2021-11-12,Греф оценил годовой заработок Сбера от внедрения ИИ в 180-200 млрд рублей,0,0,trend,neutral,business,SBER
2021-11-12,"Сбер продаст обратно ГПБ 36% ""МФ Технологии"", контролирующей 57% VK",0,0,trend,neutral,business,SBER
2021-11-15,Петербуржец отсудил у Сбербанка почти 18 млн руб. за пропажу денег со счетов,-1,0,trend,down,russia,SBER
2021-11-15,ВТБ вслед за Сбербанком повысит ставки по ипотеке на фоне ужесточения ДКП,-1,0,trend,down,business,SBER
2021-11-15,Петербуржец отсудил у Сбербанка почти 18 млн руб. за пропажу денег со счетов,-1,0,trend,down,russia,SBER
2021-11-15,ВТБ вслед за Сбербанком повысит ставки по ипотеке на фоне ужесточения ДКП,-1,0,trend,down,business,SBER
2021-11-24,"Сбербанк продал ГПБ 36% ""МФ Технологии"", контролирующей 57,3% голосующих акций VK",-1,0,trend,down,business,SBER
2021-11-24,"Сбербанк продал ГПБ 36% ""МФ Технологии"", контролирующей 57,3% голосующих акций VK",-1,0,trend,down,business,SBER
2021-12-15,Сбербанк задумался о слиянии нескольких ключевых активов в сфере e-commerce,1,1,volatility,up_vol,business,SBER
2021-12-15,"Сбербанк и VK договорились пойти в партнерстве ""еще дальше""",1,1,volatility,up_vol,business,SBER
2021-12-15,Сбербанк готовит к продаже часть бизнесов,1,1,volatility,up_vol,business,SBER
2021-12-15,Сбербанк ждет замедления розничного кредитования в 2022 году до 10-12%,1,1,volatility,up_vol,business,SBER
2021-12-15,Сбербанк не закладывает риск военного конфликта РФ с Украиной в базовом сценарии,1,1,volatility,up_vol,business,SBER
2021-12-15,"Сбербанк ждет, что депозиты физлиц в 2022 году вырастут на 6-8%",1,1,volatility,up_vol,business,SBER
2022-01-20,Сбербанк раскрыл планы по выкупу своих акций для программы мотивации сотрудников,-1,0,none,down,business,SBER
2022-01-20,Сбербанк раскрыл планы по выкупу своих акций для программы мотивации сотрудников,-1,0,none,down,business,SBER
2022-02-02,Греф пообещал в марте определить уровень дивидендов Сбера за 2021 год,-1,0,none,down,business,SBER
2022-02-02,Греф пообещал в марте определить уровень дивидендов Сбера за 2021 год,-1,0,none,down,business,SBER
2022-02-10,Экс-глава ЦБ Игнатьев впервые с 2000 г. не вошел в список кандидатов в набсовет Сбербанка,-1,0,trend,down,russia,SBER
2022-02-15,"Греф ""исключительно положительно"" оценил замену Игнатьева Швецовым в набсовете Сбербанка",0,0,trend,neutral,business,SBER
2022-02-15,"Греф ""исключительно положительно"" оценил замену Игнатьева Швецовым в набсовете Сбербанка",0,0,trend,neutral,business,SBER
2022-02-15,"Греф ""исключительно положительно"" оценил замену Игнатьева Швецовым в набсовете Сбербанка",0,0,trend,neutral,business,SBER
2022-02-21,"Х5 обсуждает продажу Сбербанку своего онлайн-гипермаркета ""Перекресток Впрок""",-1,0,none,down,business,SBER
2022-02-21,"Х5 обсуждает продажу Сбербанку своего онлайн-гипермаркета ""Перекресток Впрок""",-1,0,none,down,business,SBER
2022-02-24,"США вводят санкции против Сбербанка, ВТБ, Совкомбанка и ""Открытия""",0,0,trend,neutral,business,SBER
2022-02-24,"Сбербанк заверил, что все желающие смогут снять наличные",0,0,trend,neutral,business,SBER
2022-02-24,"США вводят санкции против Сбербанка, ВТБ, Совкомбанка и ""Открытия""",0,0,trend,neutral,business,SBER
2022-02-24,"Сбербанк заверил, что все желающие смогут снять наличные",0,0,trend,neutral,business,SBER
2022-02-25,"""Дочка"" Сбербанка в Чехии остановила работу отделений после нападений",1,0,trend,up,business,SBER
2022-02-25,"Источник сообщил, что Хасис ушел из Сбербанка раньше срока",1,0,trend,up,business,SBER
2022-03-31,"Сбербанк продал контроль в ""Сбер Управление Активами"" и ""Сбер Фонды Недвижимости""",1,0,trend,up,business,SBER
2022-03-31,"Сбербанк продал контроль в ""Сбер Управление Активами"" и ""Сбер Фонды Недвижимости""",1,0,trend,up,business,SBER
2022-04-01,Сбербанк закроет лондонское подразделение,1,0,none,up,business,SBER
2022-04-01,Производитель энергосберегающего оборудования Danfoss уйдет из РФ и Белоруссии,1,0,none,up,world,SBER
2022-04-05,В США задумались об ужесточении санкций против Сбербанка,-1,0,trend,down,business,SBER
2022-04-05,Сбер будет выдавать льготную ипотеку по ставке ниже 12%,-1,0,trend,down,russia,SBER
2022-04-05,В США задумались об ужесточении санкций против Сбербанка,-1,0,trend,down,business,SBER
