date,title,label,label_volatility,impact_type,impact_class,section,sentiment,title_len,num_words,clean_title,ticker
2022-08-18,"""Мосбиржа"" зарегистрировала выпуск облигаций ""Полюса"" объемом 3,5 млрд юаней",-1,0,trend,down,business,0,76,8,мосбиржа зарегистрировать выпуск облигация полюс объем млрд юань,POLY
2023-02-13,"""Полюс"" погасил евробонды-2023, перечислив средства всем категориям инвесторов",-1,1,"trend,volatility",down_vol,business,0,78,7,полюс погасить евробонды-2023 перечислить средство категория инвестор,POLY
2023-02-13,"""Полюс"" погасил евробонды-2023, перечислив средства всем категориям инвесторов",-1,1,"trend,volatility",down_vol,business,0,78,7,полюс погасить евробонды-2023 перечислить средство категория инвестор,POLY
2023-02-13,"""Полюс"" погасил евробонды-2023, перечислив средства всем категориям инвесторов",-1,1,"trend,volatility",down_vol,business,0,78,7,полюс погасить евробонды-2023 перечислить средство категория инвестор,POLY
2023-04-10,"Bloomberg сообщил, что ""Полюс"" рассматривает листинг на бирже Астаны",1,0,trend,up,business,0,68,5,сообщить полюс рассматривать листинг биржа,POLY
2023-04-10,"Bloomberg сообщил, что ""Полюс"" рассматривает листинг на бирже Астаны",1,0,trend,up,business,0,68,5,сообщить полюс рассматривать листинг биржа,POLY
2023-04-10,"Bloomberg сообщил, что ""Полюс"" рассматривает листинг на бирже Астаны",1,0,trend,up,business,0,68,5,сообщить полюс рассматривать листинг биржа,POLY
2023-05-10,"""Полюс"" планирует ввести в СД трех независимых директоров",-1,0,trend,down,business,0,57,5,полюс планировать ввести независимый директор,POLY
2023-05-10,"""Полюс"" планирует ввести в СД трех независимых директоров",-1,0,trend,down,business,0,57,5,полюс планировать ввести независимый директор,POLY
2023-05-18,"США ввели санкции против ""Полюса"" и холдинговой структуры ""Полиметалла""",-1,1,"trend,volatility",down_vol,world,-1,71,5,ввести санкция полюс холдинговый структура,POLY
2024-04-15,"""Полюс"" продал россыпные активы",0,0,trend,neutral,business,0,31,4,полюс продать россыпный актив,POLY
